,Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
98,9/1/2019 15:31:17,Alumni,< 25 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
99,9/1/2019 15:33:18,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,
100,9/1/2019 15:34:44,Mahasiswa,< 25 th,Suhono Harso Supangkat (STEI),Sesuai dengan kriteria kekinian (Rektor 4.0),Semoga CaRek terpilih dapat mengawal perubahan kebijakan ITB sesuai dengan tren revolusi industri 4.0
101,9/1/2019 15:35:54,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri",Semoga ITB bisa mendapat rangking internasional
102,9/1/2019 15:36:09,Umum,> 40 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Rektor ITB
103,9/1/2019 15:39:20,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Semoga ITB peringkatnya di dunia naek pesat kalau bisa no 1
104,9/1/2019 15:43:45,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,
105,9/1/2019 15:44:29,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,Semoga membawa ITB menjadi lebih baik
106,9/1/2019 15:46:06,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,"Rektor mengedepankan kepentingan Bangsa dan Negara tanpa pandang bulu,suku,agama ras dan antar golongan"
107,9/1/2019 15:48:00,Alumni,> 40 th,Deddy Kurniadi (FTI-TF),Keberhasilan dan prestasi,
108,9/1/2019 15:48:44,Dosen,> 40 th,Khairurrijal (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Kontribusi pada bangsa
109,9/1/2019 15:49:41,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Itb makin maju
110,9/1/2019 15:50:15,Alumni,< 25 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,
